ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title	Gene.ID
103483_at	0.144609	3.32e-03	11.977.346	Ercc5	excision repair cross-complementing rodent repair deficiency, complementation group 5	22592
94881_at	0.145571	3.36e-03	11.936.498	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	12575
161689_f_at	0.147775	3.43e-03	11.850.661	Il1r2	interleukin 1 receptor, type II	16178
162198_f_at	0.147775	3.45e-03	11.835.429			
103349_at	0.147775	3.48e-03	11.804.027	Gm11787///Lyn	predicted gene 11787///LYN proto-oncogene, Src family tyrosine kinase	666513///17096
95547_at	0.147775	3.48e-03	11.803.604	Rhod	ras homolog family member D	11854
101217_at	0.147775	3.48e-03	11.802.796			
94761_at	0.147875	3.52e-03	11.756.916	Ccl7	chemokine (C-C motif) ligand 7	20306
100732_at	0.147875	3.52e-03	11.756.532	LOC101055915///Gm15501///Rps8	40S ribosomal protein S8 pseudogene///ribosomal protein S8 pseudogene///ribosomal protein S8	101055915///100040298///20116
93654_at	0.147875	3.52e-03	1.175.145	Fgf12	fibroblast growth factor 12	14167
162104_f_at	0.147875	3.54e-03	11.733.809	Tapbp	TAP binding protein	21356
95102_at	0.147875	3.56e-03	11.715.521	Shisa5	shisa family member 5	66940
92435_at	0.147875	3.57e-03	1.170.219	Rlbp1	retinaldehyde binding protein 1	19771
103875_at	0.147875	3.58e-03	11.695.881	Ngrn	neugrin, neurite outgrowth associated	83485
92834_at	0.14849	3.61e-03	11.665.765	Rpl13a	ribosomal protein L13A	22121
97890_at	0.150253	3.66e-03	11.607.328	Sgk1	serum/glucocorticoid regulated kinase 1	20393
101426_at	0.151699	3.72e-03	11.554.982	Cerk	ceramide kinase	223753
93261_at	0.151699	3.73e-03	11.543.044	Lgmn	legumain	19141
161875_at	0.152692	3.80e-03	11.469.956	Fmr1	fragile X mental retardation syndrome 1	14265
101215_at	0.152692	3.81e-03	1.145.945	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	14395
94929_at	0.152692	3.82e-03	11.451.241	Ptpn1	protein tyrosine phosphatase, non-receptor type 1	19246
160108_at	0.152692	3.82e-03	11.450.606	Nupr1	nuclear protein transcription regulator 1	56312
160439_at	0.152692	3.82e-03	11.448.405	Polg	polymerase (DNA directed), gamma	18975
94831_at	0.153765	3.87e-03	11.408.789	Ctsb	cathepsin B	13030
98629_f_at	0.155329	3.92e-03	1.135.791	Hif1a	hypoxia inducible factor 1, alpha subunit	15251
99491_at	0.156685	3.97e-03	11.312.436	Il10rb	interleukin 10 receptor, beta	16155
99508_at	0.158038	4.02e-03	11.267.511	Fxyd7	FXYD domain-containing ion transport regulator 7	57780
93617_at	0.158664	4.06e-03	11.231.767	Ccrl2	chemokine (C-C motif) receptor-like 2	54199
99369_f_at	0.158664	4.06e-03	11.226.155	Igkv10-96	immunoglobulin kappa variable 10-96	692165
97520_s_at	0.159081	4.09e-03	1.120.323	Nnat	neuronatin	18111
102130_f_at	0.160311	4.14e-03	11.162.057	Gm20362	predicted gene, 20362	100504701
AFFX-b-ActinMur/M12481_5_st	0.161603	4.20e-03	11.111.111	Actb	actin, beta	11461
98003_at	0.161603	4.20e-03	11.106.709	Pirb	paired Ig-like receptor B	18733
93351_at	0.164167	4.28e-03	11.037.084	Hpgd	hydroxyprostaglandin dehydrogenase 15 (NAD)	15446
AFFX-b-ActinMur/M12481_3_st	0.165454	4.33e-03	10.996.155	Actb	actin, beta	11461
96865_at	0.167309	4.43e-03	10.919.496	Marcks	myristoylated alanine rich protein kinase C substrate	17118
101502_at	0.167309	4.44e-03	10.910.703	Tgif1	TGFB-induced factor homeobox 1	21815
98554_at	0.167309	4.44e-03	10.905.883	Ndrg3	N-myc downstream regulated gene 3	29812
100011_at	0.167309	4.44e-03	10.905.177	Klf3	Kruppel-like factor 3 (basic)	16599
103035_at	0.171859	4.59e-03	10.787.777	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	21354
96891_at	0.171859	4.60e-03	10.785.071	Anp32b	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	67628
99887_at	0.172167	4.62e-03	10.766.281	Efna5	ephrin A5	13640
161778_i_at	0.173814	4.68e-03	10.720.441	Ralgds	ral guanine nucleotide dissociation stimulator	19730
98010_at	0.178667	4.83e-03	10.611.866	Nfe2	nuclear factor, erythroid derived 2	18022
94473_at	0.179006	4.86e-03	10.589.001	Pttg1ip	pituitary tumor-transforming 1 interacting protein	108705
99158_at	0.179006	4.90e-03	10.563.244	Ostf1	osteoclast stimulating factor 1	20409
93536_at	0.179006	4.90e-03	10.559.625	Bax	BCL2-associated X protein	12028
102021_at	0.179006	4.91e-03	1.055.681	Il4ra	interleukin 4 receptor, alpha	16190
161684_r_at	0.17935	4.93e-03	10.538.174	Lcn2	lipocalin 2	16819
161348_r_at	0.184541	5.10e-03	10.423.236	Pdlim1	PDZ and LIM domain 1 (elfin)	54132
92730_at	0.184541	5.12e-03	10.407.916	Hbegf	heparin-binding EGF-like growth factor	15200
100134_at	0.184541	5.17e-03	10.378.076	Eng	endoglin	13805
103363_at	0.184541	5.20e-03	1.035.884	Taf8	TATA-box binding protein associated factor 8	63856
99081_at	0.184541	5.20e-03	10.354.207	Serping1	serine (or cysteine) peptidase inhibitor, clade G, member 1	12258
92689_at	0.184541	5.21e-03	10.348.907	Il18bp	interleukin 18 binding protein	16068
104623_at	0.184541	5.22e-03	10.346.706	Tle3	transducin-like enhancer of split 3	21887
160101_at	0.184541	5.22e-03	10.346.203	Hmox1	heme oxygenase 1	15368
103398_at	0.184812	5.26e-03	10.319.602	Pxn	paxillin	19303
93026_at	0.184812	5.26e-03	10.318.329	Mgst1	microsomal glutathione S-transferase 1	56615
99448_at	0.185059	5.28e-03	10.302.417	Tln1	talin 1	21894
96977_at	0.187021	5.36e-03	10.255.216	Gm9574	histocompatibility 2, T region pseudogene	674135
93810_at	0.187063	5.38e-03	10.243.214	Ctsd	cathepsin D	13033
96262_at	0.187831	5.43e-03	10.212.308	Rab5c	RAB5C, member RAS oncogene family	19345
92341_at	0.187831	5.43e-03	10.206.993	B3galt2	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2	26878
97413_at	0.189352	5.50e-03	10.168.615	Plet1	placenta expressed transcript 1	76509
98945_at	0.190799	5.56e-03	101.318	Sh3glb1	SH3-domain GRB2-like B1 (endophilin)	54673
93965_r_at	0.190799	5.57e-03	10.120.954	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	13209
99379_f_at	0.190931	5.60e-03	10.107.696	LOC101056305	H-2 class I histocompatibility antigen, K-D alpha chain	101056305
103910_at	0.191091	5.62e-03	10.094.012	Taf10	TATA-box binding protein associated factor 10	24075
98168_at	0.191601	5.65e-03	10.074.242	Rpl7a	ribosomal protein L7A	27176
161889_f_at	0.192846	5.71e-03	10.038.805	Aldoa	aldolase A, fructose-bisphosphate	11674
99469_at	0.192846	5.73e-03	10.031.034	Pex6	peroxisomal biogenesis factor 6	224824
98083_at	0.192965	5.75e-03	1.001.409	Klf6	Kruppel-like factor 6	23849
93323_at	0.192965	5.77e-03	1.000.484	Plp2	proteolipid protein 2	18824
92978_s_at	0.192965	5.80e-03	9.987.566	Serpinb2	serine (or cysteine) peptidase inhibitor, clade B, member 2	18788
98555_at	0.192965	5.80e-03	9.986.532	Ttc3	tetratricopeptide repeat domain 3	22129
98002_at	0.194436	5.87e-03	995.073	Irf8	interferon regulatory factor 8	15900
96307_s_at	0.195155	5.91e-03	9.928.007	Gm4705///Rpl34-ps2///Rpl34-ps1///Rpl34	predicted gene 4705///ribosomal protein L34, pseudogene 2///ribosomal protein L34, pseudogene 1///ribosomal protein L34	100043876///623174///619547///68436
101419_at	0.196408	5.96e-03	9.896.376	Tubb4a	tubulin, beta 4A class IVA	22153
95749_at	0.19764	6.05e-03	9.848.598	Manf	mesencephalic astrocyte-derived neurotrophic factor	74840
100994_at	0.19764	6.05e-03	9.846.136	Aatk	apoptosis-associated tyrosine kinase	11302
99599_s_at	0.19764	6.06e-03	9.844.779	Ptov1	prostate tumor over expressed gene 1	84113
160569_at	0.201535	6.19e-03	9.770.291	Ostc	oligosaccharyltransferase complex subunit (non-catalytic)	66357
104354_at	0.206204	6.36e-03	9.685.153	Csf1r	colony stimulating factor 1 receptor	12978
103222_at	0.209752	6.49e-03	961.955	Eps8	epidermal growth factor receptor pathway substrate 8	13860
97723_at	0.214128	6.64e-03	9.542.666	Cbx2	chromobox 2	12416
95357_at	0.214129	6.66e-03	9.532.784	Nvl	nuclear VCP-like	67459
162479_f_at	0.214629	6.72e-03	9.503.686			
161987_at	0.214629	6.74e-03	9.497.661	Pdyn	prodynorphin	18610
101793_at	0.214629	6.74e-03	9.495.876	Fcgr1	Fc receptor, IgG, high affinity I	14129
99194_at	0.214833	6.77e-03	9.479.104	Pnpt1	polyribonucleotide nucleotidyltransferase 1	71701
96300_f_at	0.214833	6.79e-03	947.343	Rps27rt///Rps27	ribosomal protein S27, retrogene///ribosomal protein S27	100043813///57294
160933_at	0.215133	6.82e-03	94.593	Igtp	interferon gamma induced GTPase	16145
97750_at	0.217536	6.91e-03	941.407	Rpsa	ribosomal protein SA	16785
103694_at	0.221848	7.07e-03	9.341.842	Nup188	nucleoporin 188	227699
94394_at	0.222936	7.13e-03	9.316.808	Rras	related RAS viral (r-ras) oncogene	20130
93613_at	0.224183	7.19e-03	9.289.667	Smad3	SMAD family member 3	17127
104495_f_at	0.227113	7.34e-03	922.191	Klk1b5	kallikrein 1-related peptidase b5	16622
94427_at	0.227113	7.35e-03	9.218.168	Copg1	coatomer protein complex, subunit gamma 1	54161
100727_at	0.227113	7.37e-03	9.211.654	Gm10051///Rpl28	predicted pseudogene 10051///ribosomal protein L28	100039731///19943
161530_r_at	0.227113	7.37e-03	9.211.346	Sema4a	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	20351
102816_at	0.230026	7.50e-03	9.155.683	Serpina3m	serine (or cysteine) peptidase inhibitor, clade A, member 3M	20717
93862_i_at	0.230026	7.52e-03	9.147.457	Defa24	defensin, alpha, 24	503491
102263_at	0.230026	7.53e-03	9.143.729	Zfp143	zinc finger protein 143	20841
94285_at	0.230522	7.58e-03	9.121.427	H2-Eb1	histocompatibility 2, class II antigen E beta	14969
94137_at	0.230522	7.59e-03	911.885	Cxcr2	chemokine (C-X-C motif) receptor 2	12765
92636_f_at	0.231273	7.63e-03	9.099.652	LOC102642071///LOC102637269///Gm4184///Gm11575///Gm10177///Gm17756///Sec61g	protein transport protein Sec61 subunit gamma-like///protein transport protein Sec61 subunit gamma///predicted gene 4184///predicted gene 11575///predicted gene 10177///predicted gene, 17756///SEC61, gamma subunit	102642071///102637269///100043039///100043027///100042561///669751///20335
104432_at	0.234165	7.79e-03	903.624	Rnd2	Rho family GTPase 2	11858
99013_f_at	0.234165	7.80e-03	9.033.267	Tmod3	tropomodulin 3	50875
99778_at	0.234165	7.84e-03	9.017.302	Gm15793///Gm32899///LOC102635048///Rpl12	predicted gene 15793///predicted gene, 32899///60S ribosomal protein L12 pseudogene///ribosomal protein L12	102640707///102635609///102635048///269261
96982_g_at	0.234165	7.84e-03	9.016.931	Olfr1508///Olfr1507	olfactory receptor 1508///olfactory receptor 1507	57270///57269
101778_at	0.234165	7.86e-03	9.010.345	Gja5	gap junction protein, alpha 5	14613
95286_at	0.234165	7.86e-03	9.007.582	Clu	clusterin	12759
92625_at	0.236601	7.98e-03	8.963.239	Nme2	NME/NM23 nucleoside diphosphate kinase 2	18103
162134_r_at	0.236601	8.01e-03	8.949.761	2010111I01Rik	RIKEN cDNA 2010111I01 gene	72061
93102_f_at	0.236601	8.01e-03	8.949.312	Actg2	actin, gamma 2, smooth muscle, enteric	11468
93750_at	0.23684	8.04e-03	8.937.534	Gsn	gelsolin	227753
94207_at	0.24105	8.22e-03	8.868.525	Pdia6	protein disulfide isomerase associated 6	71853
160565_at	0.24105	8.24e-03	8.863.484	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous	12716
162068_r_at	0.24105	8.25e-03	8.857.504	Emb	embigin	13723
104189_at	0.241542	8.29e-03	8.842.753	Traf6	TNF receptor-associated factor 6	22034
160305_at	0.243007	8.41e-03	8.801.688	Psmd11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	69077
160238_at	0.243007	8.42e-03	8.797.699	Ciapin1	cytokine induced apoptosis inhibitor 1	109006
96060_at	0.243007	8.44e-03	878.974	Serpinb6a	serine (or cysteine) peptidase inhibitor, clade B, member 6a	20719
102658_at	0.243007	8.46e-03	8.782.276	Il1r2	interleukin 1 receptor, type II	16178
100483_at	0.243007	8.48e-03	8.775.626	Ifnar1	interferon (alpha and beta) receptor 1	15975
103299_at	0.243007	8.49e-03	8.772.692	Pld4	phospholipase D family, member 4	104759
100305_g_at	0.243007	8.53e-03	8.756.245	H2-M10.1	histocompatibility 2, M region locus 10.1	14985
98295_at	0.243007	8.54e-03	8.751.987	Cyp2c39	cytochrome P450, family 2, subfamily c, polypeptide 39	13098
98578_at	0.243007	8.57e-03	8.743.682	Omt2b	oocyte maturation, beta	382088
94802_at	0.243007	8.59e-03	8.734.508	Mtss1l	metastasis suppressor 1-like	244654
161315_i_at	0.243007	8.60e-03	8.731.003	Tm4sf1	transmembrane 4 superfamily member 1	17112
97882_at	0.243007	8.64e-03	8.719.058	Sec61a1	Sec61 alpha 1 subunit (S. cerevisiae)	53421
96127_at	0.243007	8.64e-03	8.716.505	Sgpl1	sphingosine phosphate lyase 1	20397
98284_f_at	0.245328	8.75e-03	8.679.572	H2-T18	histocompatibility 2, T region locus 18	15033
102644_at	0.246066	8.81e-03	8.660.565	Mdfic	MyoD family inhibitor domain containing	16543
160646_at	0.246066	8.89e-03	8.631.026	Gsr	glutathione reductase	14782
101840_at	0.246066	8.90e-03	8.627.178	Egfr	epidermal growth factor receptor	13649
100984_at	0.246066	8.91e-03	8.623.209	Gm1862///Atf1	predicted pseudogene 1862///activating transcription factor 1	100040260///11908
103526_at	0.246066	8.94e-03	8.613.899	Padi2	peptidyl arginine deiminase, type II	18600
96713_at	0.246066	8.95e-03	8.612.415	Papss2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	23972
102414_i_at	0.246066	8.97e-03	8.605.051	Dnajc3	DnaJ heat shock protein family (Hsp40) member C3	100037258
97315_at	0.246066	8.97e-03	8.603.256	Polr2d	polymerase (RNA) II (DNA directed) polypeptide D	69241
101853_f_at	0.246066	8.99e-03	8.598.027	Cfh	complement component factor h	12628
160625_f_at	0.246066	9.01e-03	85.912	Mettl8	methyltransferase like 8	228019
AFFX-b-ActinMur/M12481_3_at	0.246486	9.05e-03	8.577.032	Actb	actin, beta	11461
96585_at	0.246486	9.07e-03	8.570.524	Avpr2	arginine vasopressin receptor 2	12000
104188_at	0.247578	9.14e-03	854.645	Notch2	notch 2	18129
97575_f_at	0.247578	9.19e-03	8.531.831	Ighg3///Igha///Igh-VJ558///Ighm	Immunoglobulin heavy constant gamma 3///immunoglobulin heavy constant alpha///immunoglobulin heavy chain (J558 family)///immunoglobulin heavy constant mu	380795///238447///16061///16019
98137_at	0.247578	9.20e-03	8.529.733	Car5a	carbonic anhydrase 5a, mitochondrial	12352
101286_at	0.247578	9.21e-03	8.526.492	Gja8	gap junction protein, alpha 8	14616
102348_at	0.247761	9.24e-03	851.664	Gm4354	predicted gene 4354	100043316
100876_at	0.248464	9.29e-03	850.057	Fez1	fasciculation and elongation protein zeta 1 (zygin I)	235180
102157_f_at	0.248997	9.35e-03	8.480.432	Igkv10-96	immunoglobulin kappa variable 10-96	692165
103275_at	0.248997	9.35e-03	8.479.047	Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit A1	11975
99457_at	0.251146	9.49e-03	8.437.273	Mki67	antigen identified by monoclonal antibody Ki 67	17345
93042_at	0.251146	9.51e-03	843.014	Tspo	translocator protein	12257
99335_at	0.251146	9.51e-03	8.429.285	Hk1	hexokinase 1	15275
99076_at	0.251146	9.53e-03	8.423.531	Nr1d2	nuclear receptor subfamily 1, group D, member 2	353187
99949_at	0.252342	9.60e-03	8.402.005	Ino80e	INO80 complex subunit E	233875
161327_f_at	0.252605	9.65e-03	8.387.637	Rpl10a	ribosomal protein L10A	19896
97647_at	0.252605	9.71e-03	8.366.728	LOC100862433///Rps16-ps2///Rps16	40S ribosomal protein S16///ribosomal protein S16, pseudogene 2///ribosomal protein S16	100862433///100039355///20055
98526_r_at	0.252605	9.73e-03	8.363.251	Erdr1	erythroid differentiation regulator 1	170942
95393_at	0.252605	9.76e-03	835.121	Btbd3	BTB (POZ) domain containing 3	228662
93285_at	0.252605	9.80e-03	8.340.123	Dusp6	dual specificity phosphatase 6	67603
100915_at	0.252605	9.86e-03	8.323.428	Myh9	myosin, heavy polypeptide 9, non-muscle	17886
93970_at	0.252605	9.86e-03	8.323.235	Ipo7	importin 7	233726
161711_f_at	0.252605	9.86e-03	8.321.702	Vsx2	visual system homeobox 2	12677
99133_at	0.252605	9.91e-03	8.307.671	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	17254
96154_at	0.252605	9.91e-03	8.306.703	Renbp	renin binding protein	19703
92807_at	0.252605	9.96e-03	8.291.497	Txn1	thioredoxin 1	22166
101877_at	0.252605	9.97e-03	8.289.771	Slc31a1	solute carrier family 31, member 1	20529
103499_at	0.252605	9.98e-03	8.285.675	Vwf	Von Willebrand factor	22371
101410_at	0.252605	9.99e-03	8.283.122	Cldn4	claudin 4	12740
104000_at	0.252605	1.00e-02	8.272.751	Ces2g	carboxylesterase 2G	72361
161181_f_at	0.252605	1.00e-02	8.272.741	Dusp16	dual specificity phosphatase 16	70686
160162_at	0.252605	1.00e-02	8.269.822	Tagln2	transgelin 2	21346
101800_at	0.252605	1.00e-02	8.269.367	Fpr2	formyl peptide receptor 2	14289
100927_at	0.252824	1.01e-02	8.259.835	Pltp	phospholipid transfer protein	18830
160217_at	0.254078	1.01e-02	8.238.368	Apmap	adipocyte plasma membrane associated protein	71881
92642_at	0.254151	1.02e-02	8.225.673	Car2	carbonic anhydrase 2	12349
92232_at	0.254151	1.02e-02	8.223.663	Socs3	suppressor of cytokine signaling 3	12702
96146_at	0.257736	1.04e-02	8.175.045	Gm7334///Btg3	B-cell translocation gene 3 pseudogene///B cell translocation gene 3	654432///12228
98590_at	0.257736	1.04e-02	8.166.274	Sdc4	syndecan 4	20971
94767_at	0.257736	1.04e-02	8.162.175	Rps11	ribosomal protein S11	27207
94686_at	0.258917	1.05e-02	814.207	C76533	expressed sequence C76533	98134
101572_f_at	0.259136	1.05e-02	8.132.821	Serpina1d///Serpina1c///Serpina1a	serine (or cysteine) peptidase inhibitor, clade A, member 1D///serine (or cysteine) peptidase inhibitor, clade A, member 1C///serine (or cysteine) peptidase inhibitor, clade A, member 1A	20703///20702///20700
102126_at	0.262732	1.07e-02	8.086.117	Gm21571///Rps12-ps18///Rps12-ps24///Rps12-ps10///Rps12-ps14///Rps12-ps13///Rps12-ps15///Rps12-ps12///Rps12-ps16///Rps12-ps11///Rps12	predicted gene, 21571///ribosomal protein S12, pseudogene 18///ribosomal protein S12, pseudogene 24///ribosomal protein S12, pseudogene 10///ribosomal protein S12, pseudogene 14///ribosomal protein S12, pseudogene 13///ribosomal protein S12, pseudogene 15///ribosomal protein S12, pseudogene 12///ribosomal protein S12, pseudogene 16///ribosomal protein S12, pseudogene 11///ribosomal protein S12	100862223///100038969///671641///670832///665611///665579///665522///665463///626048///434843///20042
161983_f_at	0.265861	1.09e-02	8.040.146	Rnh1	ribonuclease/angiogenin inhibitor 1	107702
97700_at	0.265861	1.09e-02	8.035.141	H2-K1	histocompatibility 2, K1, K region	14972
98505_i_at	0.265861	1.09e-02	803.184	Cpox	coproporphyrinogen oxidase	12892
94461_at	0.266667	1.10e-02	8.005.897	Nampt	nicotinamide phosphoribosyltransferase	59027
93463_at	0.266667	1.10e-02	8.004.612	Usp19	ubiquitin specific peptidase 19	71472
93340_f_at	0.266667	1.10e-02	8.003.221	Copb2	coatomer protein complex, subunit beta 2 (beta prime)	50797
99136_at	0.266907	1.10e-02	7.993.297	Axl	AXL receptor tyrosine kinase	26362
102081_at	0.266907	1.11e-02	7.987.476	Robo3	roundabout guidance receptor 3	19649
98608_at	0.267233	1.11e-02	7.977.418	Etf1	eukaryotic translation termination factor 1	225363
94068_at	0.267416	1.11e-02	7.968.919	Rps19	ribosomal protein S19	20085
99151_at	0.267573	1.12e-02	7.960.716	Exosc7	exosome component 7	66446
96348_at	0.269071	1.13e-02	7.938.262	Pnpla2	patatin-like phospholipase domain containing 2	66853
97763_at	0.271244	1.14e-02	7.908.832	Ncf1	neutrophil cytosolic factor 1	17969
98495_at	0.275513	1.16e-02	7.857.979	Plgrkt	plasminogen receptor, C-terminal lysine transmembrane protein	67759
94458_at	0.275588	1.16e-02	7.846.664	Casp6	caspase 6	12368
102253_at	0.275588	1.17e-02	7.838.651	AF067063	cDNA sequence AF067063	380878
99603_g_at	0.275588	1.17e-02	7.830.814	Klf10	Kruppel-like factor 10	21847
